Full Filename,Short Filename,Trait1-CyberTag,Trait2-Time,Trait3-Seed,Trait4-Platform,Trait5-Special
G:\My Drive\AAVOC\10k\finalfinal\cybepunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 36928283-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cybepunk city night 36928283,cybepunk,night,283,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama sunset detailed painting [ruDALL-E Arbitrary Resolution v2] 632344317-gigapixel-art-scale-6_00x-SharpenAI-Focus.png,cyberpunk city panorama sunset 632344317,cyberpunk,sunset,317,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\cyber city dawn detailed painting [ruDALL-E Arbitrary Resolution v2] 1515922434-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city dawn 1515922434,cyber,dawn,434,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\QEsdEJs5M2LyQwZSnI6E-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at night QEsdEJs5M2LyQwZSnI6E,cyberpunk,night,I6E,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cybepunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 792562513-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cybepunk city night 792562513,cybepunk,night,513,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\dEZg9HTAA3xNgXzZcLlW-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at night dEZg9HTAA3xNgXzZcLlW,cyberpunk,night,LlW,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dawn detailed painting [ruDALL-E Arbitrary Resolution v2] 1143763686-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city dawn 1143763686,cyber,dawn,686,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dawn detailed painting [ruDALL-E Arbitrary Resolution v2] 922011999-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city dawn 922011999,cyber,dawn,999,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\qJdGM6GsBXtbKFpVmovk-gigapixel-art-scale-6_00x-SharpenAI-Focus.jpg,streets of cyberpunk city at dawn qJdGM6GsBXtbKFpVmovk,cyberpunk,dawn,ovk,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\BHs1Ok2echB3f4lLsV8f-gigapixel-art-scale-6_00x-SharpenAI-Focus.jpg,streets of cyberpunk city purple light BHs1Ok2echB3f4lLsV8f,cyberpunk,none,V8f,Nightcafe,purple
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama night detailed painting [ruDALL-E Arbitrary Resolution v2] 1822568100-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city panorama night 1822568100,cyberpunk,night,100,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\vDz0BgtgYlXaTsUlFKjy-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city night vDz0BgtgYlXaTsUlFKjy,cyberpunk,night,Kjy,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\streets of cyberpunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 141247328-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,streets of cyberpunk city night 141247328,cyberpunk,night,328,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\2tmqRTJZ4xKeYesusop1-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at sunset 2tmqRTJZ4xKeYesusop1,cyberpunk,sunset,op1,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama sunset detailed painting [ruDALL-E Arbitrary Resolution v2] 464135611-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyberpunk city panorama sunset 464135611,cyberpunk,sunset,611,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama night detailed painting [ruDALL-E Arbitrary Resolution v2] 1565739270-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city panorama night 1565739270,cyberpunk,night,270,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\DmdmlE5XQChpUpczwood-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at dusk DmdmlE5XQChpUpczwood,cyberpunk,dusk,ood,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\4nVRWNjATsgw5bwWUeur-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city dusk 4nVRWNjATsgw5bwWUeur,cyber,dusk,eur,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cybepunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 1569174615-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cybepunk city night 1569174615,cybepunk,night,615,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city night detailed painting [ruDALL-E Arbitrary Resolution v2] 155552034-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city night 155552034,cyber,night,034,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\apCB3vNZrAMbDfrGdfYP-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyberpunk city dawn apCB3vNZrAMbDfrGdfYP,cyberpunk,dawn,fYP,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cybepunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 1483073456-gigapixel-art-scale-6_00x-SharpenAI-Motion.png,cybepunk city night 1483073456,cybepunk,night,456,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\l40vmJ3ZwOVMZLdrKVRa-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city purple light l40vmJ3ZwOVMZLdrKVRa,cyberpunk,none,VRa,Nightcafe,purple
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama night detailed painting [ruDALL-E Arbitrary Resolution v2] 2015411465-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city panorama night 2015411465,cyberpunk,night,465,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\cyber city night detailed painting [ruDALL-E Arbitrary Resolution v2] 1267340776-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city night 1267340776,cyber,night,776,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cybepunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 90828209-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cybepunk city night 90828209,cybepunk,night,209,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama sunset detailed painting [ruDALL-E Arbitrary Resolution v2] 1231801131-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyberpunk city panorama sunset 1231801131,cyberpunk,sunset,131,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\cyber city sunset detailed painting [ruDALL-E Arbitrary Resolution v2] 1197463506-gigapixel-art-scale-6_00x-SharpenAI-Focus.png,cyber city sunset 1197463506,cyber,sunset,506,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\itMwFKdCVbKul3cHk0ak-gigapixel-art-scale-6_00x-SharpenAI-Focus.jpg,streets of cyberpunk city red light itMwFKdCVbKul3cHk0ak,cyberpunk,none,0ak,Nightcafe,red
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama dawn detailed painting [ruDALL-E Arbitrary Resolution v2] 1060513333-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city panorama dawn 1060513333,cyberpunk,dawn,333,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\cyber city night detailed painting [ruDALL-E Arbitrary Resolution v2] 496799352-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city night 496799352,cyber,night,352,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city night detailed painting [ruDALL-E Arbitrary Resolution v2] 751001091-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city night 751001091,cyber,night,091,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama night detailed painting [ruDALL-E Arbitrary Resolution v2] 2078134049-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city panorama night 2078134049,cyberpunk,night,049,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\keiYQCc3rwqLdKkfruiq-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at dawn keiYQCc3rwqLdKkfruiq,cyberpunk,dawn,uiq,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama sunset detailed painting [ruDALL-E Arbitrary Resolution v2] 1048044394-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city panorama sunset 1048044394,cyberpunk,sunset,394,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\5iNYiljGSx1ByjJuC3rH-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city dawn 5iNYiljGSx1ByjJuC3rH,cyberpunk,dawn,3rH,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama night detailed painting [ruDALL-E Arbitrary Resolution v2] 189686395-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city panorama night 189686395,cyberpunk,night,395,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\cyber city dawn detailed painting [ruDALL-E Arbitrary Resolution v2] 1268124362-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city dawn 1268124362,cyber,dawn,362,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\5WuBdfXmNSuQ7eVIUOiH-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at sunset 5WuBdfXmNSuQ7eVIUOiH,cyberpunk,sunset,OiH,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\view from the balcony over vast cyberpunk city below detailed painting [ruDALL-E Arbitrary Resolution v2] 630763600-gigapixel-art-scale-6_00x-SharpenAI-Focus.jpg,view from the balcony over vast cyberpunk city below 630763600,cyberpunk,none,600,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\streets of cyberpunk city neon night detailed painting [ruDALL-E Arbitrary Resolution v2] 2103892762-gigapixel-art-scale-6_00x-SharpenAI-Motion.png,streets of cyberpunk city neon night 2103892762,cyberpunk,night,762,Visions of Chaos,neon
G:\My Drive\AAVOC\10k\finalfinal\cybepunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 1045442958-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cybepunk city night 1045442958,cybepunk,night,958,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\kHbUZjgJhzuPWZ7pGHZL-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at sunset kHbUZjgJhzuPWZ7pGHZL,cyberpunk,sunset,HZL,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\mWSUZGh3n98drKCbUegX-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city dawn mWSUZGh3n98drKCbUegX,cyber,dawn,egX,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\streets of cyberpunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 237921445-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,streets of cyberpunk city night 237921445,cyberpunk,night,445,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\CxVcAlWe6ifbpX1iLjuF-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at dawn CxVcAlWe6ifbpX1iLjuF,cyberpunk,dawn,juF,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dusk detailed painting [ruDALL-E Arbitrary Resolution v2] 2019592252-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city dusk 2019592252,cyber,dusk,252,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama dawn detailed painting [ruDALL-E Arbitrary Resolution v2] 596988399-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city panorama dawn 596988399,cyberpunk,dawn,399,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\cybepunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 36957729-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cybepunk city night 36957729,cybepunk,night,729,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama night detailed painting [ruDALL-E Arbitrary Resolution v2] 268178577-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city panorama night 268178577,cyberpunk,night,577,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\7V8Th3OMiGTGOOvz5EFP-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyberpunk city dawn 7V8Th3OMiGTGOOvz5EFP,cyberpunk,dawn,EFP,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city night detailed painting [ruDALL-E Arbitrary Resolution v2] 1841168467-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city night 1841168467,cyber,night,467,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\avjdL43xM5eHVnKS6yIF-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city dusk avjdL43xM5eHVnKS6yIF,cyber,dusk,yIF,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city night detailed painting [ruDALL-E Arbitrary Resolution v2] 717408473-gigapixel-art-scale-6_00x-SharpenAI-Focus.jpg,cyber city night 717408473,cyber,night,473,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\DSsolqLFLH1in2GUZgHm-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at dawn DSsolqLFLH1in2GUZgHm,cyberpunk,dawn,gHm,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\3uQ8uQBcsnL1oZaJa7yT-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at sunset 3uQ8uQBcsnL1oZaJa7yT,cyberpunk,sunset,7yT,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\IUCHY9u5BhwaUPG0zX3q-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at sunset IUCHY9u5BhwaUPG0zX3q,cyberpunk,sunset,X3q,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\Qcpjit4g3Jld9dUwkhzD-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at night Qcpjit4g3Jld9dUwkhzD,cyberpunk,night,hzD,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\HfXd0R822v4C4rqndZzz-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at sunset HfXd0R822v4C4rqndZzz,cyberpunk,sunset,Zzz,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dusk detailed painting [ruDALL-E Arbitrary Resolution v2] 895751132-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city dusk 895751132,cyber,dusk,132,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dusk detailed painting [ruDALL-E Arbitrary Resolution v2] 299205232-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city dusk 299205232,cyber,dusk,232,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dusk detailed painting [ruDALL-E Arbitrary Resolution v2] 1587210088-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city dusk 1587210088,cyber,dusk,088,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dusk detailed painting [ruDALL-E Arbitrary Resolution v2] 1319001121-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city dusk 1319001121,cyber,dusk,121,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\streets of cyberpunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 1470839346-gigapixel-art-scale-6_00x-SharpenAI-Focus.png,streets of cyberpunk city night 1470839346,cyberpunk,night,346,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city night detailed painting [ruDALL-E Arbitrary Resolution v2] 1608217492-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city night 1608217492,cyber,night,492,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\su0mYe6KiEVMKcapt0rS-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city dawn su0mYe6KiEVMKcapt0rS,cyber,dawn,0rS,Nightcafe,none
